,AnalysisName,CatalogTypeCode,AnalysisID,YearID,EventID,ModelCode,Peril,ReTreatySID,ProgramID,ppnp,CompanyName,100shareloss,grloss,ntloss,finalnetloss100,finalnetgrloss,finalnetnetloss,TreatyID,cnty_cd
250094,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6253,169105,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,6493305.69602372,1038928.91136379,909062.79744332,5811508.59794123,929841.375670596,813611.203711772,371333_1,
250124,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6254,169139,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,462123.101351183,73939.6962161893,64697.2341891656,413600.175709309,66176.0281134894,57904.0245993032,371333_1,
250139,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6255,169157,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,7631343.3387792,1221014.93420467,1068388.06742909,6830052.28820738,1092808.36611318,956207.320349034,371333_1,
250175,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6256,169191,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,13124251.3854218,2099880.22166748,1837395.19395905,11746204.9899525,1879392.7983924,1644468.69859335,371333_1,
250260,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6256,169199,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,14803046.3954693,2368487.42327509,2072426.4953657,371333_1,
250261,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6256,169199,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,1398558.17585603,223769.308136964,195798.144619844,1346112.24426143,215377.959081828,188455.7141966,371333_2,
250403,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6258,169252,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2532599.34820782,405215.895713251,354563.908749095,2266676.416646,362668.22666336,317334.69833044,371333_1,
250844,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6271,169601,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,5928357.15150215,948537.144240344,829970.001210301,5305879.65059442,848940.744095108,742823.151083219,371333_1,
251004,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6277,169770,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2154721.80859775,344755.48937564,301661.053203685,1928476.01869498,308556.162991197,269986.642617298,371333_1,
251058,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6277,169778,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,265072.760767724,42411.6417228359,37110.1865074814,237240.120887113,37958.4193419381,33213.6169241959,371333_1,
251490,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6295,170286,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
251491,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6295,170286,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,20000000.0,3200000.0,2800000.0,19250000.0,3080000.0,2695000.0,371333_2,
251626,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6301,170438,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,1716167.93271558,274586.869234493,240263.510580181,1535970.29978045,245755.247964871,215035.841969262,371333_1,
251760,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6307,170620,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,3054162.14551876,488665.943283001,427582.700372626,2733475.12023929,437356.019238286,382686.5168335,371333_1,
251857,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6310,170681,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,5744510.83833767,919121.734134028,804231.517367275,5141337.20031222,822613.952049955,719787.208043711,371333_1,
